Unnamed: 0,url,name,area,투자 단계,투자 금액,제작 년도,기업 소개,기업 정보,전체 내용
0,https://www.nextunicorn.kr/templates/ir-deck/detail/6162ad69a5630c68,우주문방구,"콘텐츠, 웹소설, 세계관공동창작플랫폼",투자 진행중,투자 진행중,2024년,"<스토리네이션>에서는 인물, 배경, 주요 사건과 같은 간단한 설정만으로 콘텐츠를 즉시 오픈할 수 있는 세계관 시스템을 제공합니다. 작가와 독자들은 이러한 세계관을 중심으로 함께 소통하며 작품을 발전/제작할 수 있습니다.
또한, <스토리네이션>에서는 아직은 글 쓰는 게 어려운 초보 작가들을 위한 반 자동 집필 시스템을 제공합니다. 스토리네이션의 인공지능 보조 작가 <토리AI>의 도움을 받아 틀린 문장을 교정하고 부족한 표현력을 쉽게 메꿀 수 있습니다.
작품별 회차에는 다음 회차의 진행 방향을 묻는 투표부터 간단한 미니게임을 통한 포인트 배팅까지 다양한 참여형 장치를 지원합니다. 이를 통해 독자와 소통하여, 참신한 아이디어를 얻을 수도 있고 흥행의 장치로 사용할 수도 있습니다.
<스토리네이션>에게 가장 중요한 것은 세계관을 중심으로 이야기가 확장되는 것입니다. 때문에 작가가 원할 경우, 해당 작품이 연재되는 플랫폼으로 이어지는 아웃링크도 제공해 드립니다.","✅ 활용 기술 : 자연어처리, API, 클라우드
✅ 기업 한 줄 소개 : 세계관 공동 창작을 기반으로 한 콘텐츠 제작/유통 플랫폼 <스토리네이션>을 운영하고 있습니다.
✅ 참여 투자 기관 : 라구나인베스트먼트, 카카오인베스트먼트, 마크앤컴퍼니, 벤처스퀘어","기업 정보
✅ 활용 기술 : 자연어처리, API, 클라우드
✅ 기업 한 줄 소개 : 세계관 공동 창작을 기반으로 한 콘텐츠 제작/유통 플랫폼 <스토리네이션>을 운영하고 있습니다.
✅ 참여 투자 기관 : 라구나인베스트먼트, 카카오인베스트먼트, 마크앤컴퍼니, 벤처스퀘어
우주문방구 소개
<스토리네이션>에서는 인물, 배경, 주요 사건과 같은 간단한 설정만으로 콘텐츠를 즉시 오픈할 수 있는 세계관 시스템을 제공합니다. 작가와 독자들은 이러한 세계관을 중심으로 함께 소통하며 작품을 발전/제작할 수 있습니다.
또한, <스토리네이션>에서는 아직은 글 쓰는 게 어려운 초보 작가들을 위한 반 자동 집필 시스템을 제공합니다. 스토리네이션의 인공지능 보조 작가 <토리AI>의 도움을 받아 틀린 문장을 교정하고 부족한 표현력을 쉽게 메꿀 수 있습니다.
작품별 회차에는 다음 회차의 진행 방향을 묻는 투표부터 간단한 미니게임을 통한 포인트 배팅까지 다양한 참여형 장치를 지원합니다. 이를 통해 독자와 소통하여, 참신한 아이디어를 얻을 수도 있고 흥행의 장치로 사용할 수도 있습니다.
<스토리네이션>에게 가장 중요한 것은 세계관을 중심으로 이야기가 확장되는 것입니다. 때문에 작가가 원할 경우, 해당 작품이 연재되는 플랫폼으로 이어지는 아웃링크도 제공해 드립니다.
Rising Startup 2024 선정
스타트업 현직 VC 및 AC 투자심사역과 스타트업 업계 전문가가 참여하는 심사를 통해 우수한 평가를 받아 선정된 유망 스타트업입니다."
1,https://www.nextunicorn.kr/templates/ir-deck/detail/b12562c4fe624c54,Honeycomb,"SaaS, 클라우드, 플랫폼",시리즈 D,650억원,2023년,,,
2,https://www.nextunicorn.kr/templates/ir-deck/detail/dc9a2bee21367c46,276홀딩스,"핀테크, 매출채권플랫폼, 기업용BNPL",투자 진행중,투자 진행중,2024년,"276홀딩스는 중소기업의 재무환경 개선 및 대안 기업 금융 인프라 구축을 위한 서비스를 제공하고 있습니다.
기업의 주요 자산인 매출채권 전자화 및 유동화 플랫폼 “Flow Point”와 기업 전용 원자재 BNPL 솔루션 “Flow Pay”를 통해 기업의 필요 자금을 적시에 공급합니다.","✅ 활용 기술 : 기타
✅ 기업 한 줄 소개 : 보다 실질적이고 실리적인 금융 스타트업입니다.
✅ 참여 투자 기관 : 소풍벤처스, 인포뱅크, 수이제네리스파트너스","투자심사역이 말하는 IR자료에서 주목해야 할 핵심 Point
✅ 해당 산업 분야에 대한 이해가 충분한 전문 팀을 보유했다는 강점이 두드러집니다.
- 관련 산업분야유관 회사에서 재직한 팀원이 4인 이상으로 확인됨
- 기본적으로 매출채권의 구조와 어음의 구조가 유사한 만큼, 해당 경력을 바탕으로 시행착오를 줄일 수 있을 것이라는 신뢰를 구축할 수 있음.
✅ 양수도를 통한 유동화, 보험 활용 등을 통한 리스크 헷지 구조를 설득력 높게 전달했습니다.
- 선진 금융 시장의 방식을 적용하여 당사가 보유한 리스크를 최소화하고 이익을 추구할 수 있는 구조를 착안한 점이 인상적
기업 정보
✅ 활용 기술 : 기타
✅ 기업 한 줄 소개 : 보다 실질적이고 실리적인 금융 스타트업입니다.
✅ 참여 투자 기관 : 소풍벤처스, 인포뱅크, 수이제네리스파트너스
276홀딩스 소개
276홀딩스는 중소기업의 재무환경 개선 및 대안 기업 금융 인프라 구축을 위한 서비스를 제공하고 있습니다.
기업의 주요 자산인 매출채권 전자화 및 유동화 플랫폼 “Flow Point”와 기업 전용 원자재 BNPL 솔루션 “Flow Pay”를 통해 기업의 필요 자금을 적시에 공급합니다.
Rising Startup 2024 선정
스타트업 현직 VC 및 AC 투자심사역과 스타트업 업계 전문가가 참여하는 심사를 통해 우수한 평가를 받아 선정된 유망 스타트업입니다."
3,https://www.nextunicorn.kr/templates/ir-deck/detail/e0621abcdf6bdc37,앰플리튜드(Amplitude),"SaaS, 데이터분석, 애널리틱스",시리즈 F,100억원,2021년,"Amplitude는 데이터 분석 및 제품 분석 플랫폼으로, 기업들이 사용자 행동을 추적하고 이해하여 더 나은 제품 결정을 내릴 수 있도록 지원합니다. 실시간 분석, A/B 테스트, 고객 세분화 등의 기능을 제공합니다. 주요 고객에는 Square, Microsoft, Adidas 등 다양한 기업들이 포함되어 있습니다.",,"회사 소개
Amplitude는 데이터 분석 및 제품 분석 플랫폼으로, 기업들이 사용자 행동을 추적하고 이해하여 더 나은 제품 결정을 내릴 수 있도록 지원합니다. 실시간 분석, A/B 테스트, 고객 세분화 등의 기능을 제공합니다. 주요 고객에는 Square, Microsoft, Adidas 등 다양한 기업들이 포함되어 있습니다.
주목해야 할 핵심 Point
✅ 시장 상황 및 문제 인식 : 기존 기업들은 효과적인 데이터 분석 솔루션이 부족해 자체적으로 구축해야 했으며, Amplitude는 이를 해결하는 전문 애널리틱스 플랫폼을 제공함.
✅ 핵심 경쟁력 : 실시간 + 사후 데이터 분석, 비용 효율적 확장성, 개발자 친화적 인터페이스, 정확하고 투명한 시스템을 갖춘 차별화된 솔루션 제공.
✅ 모바일 시장 성장과 데이터 중심 전략의 중요성 : 모바일 시장이 빠르게 성장하면서, 데이터 기반 의사결정이 기업의 핵심 경쟁력이 되고 있으며, 이를 위한 필수 인프라 역할 수행 강조.
✅ 강력한 기술력과 비즈니스 모델 : MIT 출신 엔지니어팀이 개발한 확장성 높은 기술 스택, 대규모 데이터 처리 역량, 엔터프라이즈 중심의 연간 약정 기반 비즈니스 모델로 시장 우위 확보.
추천 이유
이 IR자료는 투자자 설득을 위한 스토리 구성, 경쟁력 강조, 시장 기회 제시, 기술 설명, 데이터 활용 등의 핵심 요소를 잘 갖추고 있습니다.
1. 투자자 관점에서 핵심을 짚는 스토리라인
- 시장 문제를 명확히 정의하고, Amplitude가 이를 어떻게 해결하는지 논리적으로 전개함. 스타트업이 자신의 문제 정의와 솔루션을 효과적으로 전달하는 방법을 배울 수 있음.
2. 차별화된 경쟁력 강조 방식
- 경쟁사와 차별화되는 요소(실시간+사후 데이터, 개발자 친화성, 비용 효율성 등)를 구체적 데이터와 사례로 뒷받침. 투자자들에게 “왜 우리가 경쟁에서 이길 수 있는가”를 설득하는 방식 참고 가능.
3. 시장 성장성과 비즈니스 모델 제시
- 모바일 데이터 분석 시장의 성장 가능성을 수치로 제시하고, 이를 활용한 Amplitude의 수익 모델을 명확히 설명. 스타트업이 시장 기회와 수익 창출 전략을 어떻게 강조해야 하는지 배울 수 있음.
4. 기술적 강점을 쉽게 전달하는 방식
- 복잡한 기술적 차별점을 투자자들이 이해할 수 있도록 구조화하여 설명. 기술 기반 스타트업이라면, 핵심 기술을 쉽게 풀어내는 방식에 대한 인사이트를 얻을 수 있음.
5. 데이터 기반의 성과 증명
- 고객 성장률, 리텐션, 시장 점유율 등의 데이터를 활용해 traction(성장 지표)을 강조. 투자자들에게 신뢰를 주는 방식으로, 스타트업이 어떤 지표를 강조해야 하는지 참고 가능.
목차
1. 시장 기회 및 문제점
2. Amplitude의 핵심 신념
3. Amplitude의 주요 기능
4. Amplitude의 차별화 요소
5. 시장 기회 및 성장 가능성
6. 경쟁 분석
7. 기술적 강점
8. 비즈니스 모델 및 영업 전략
9. 팀 구성 및 강점
10. Amplitude의 비전과 미래 성장 전략"
4,https://www.nextunicorn.kr/templates/ir-deck/detail/0f222556de905c22,프랙탈에프엔,"토큰증권(STO), 카피트레이딩, 주식투자",투자 진행중,투자 진행중,2024년,"- 주식 투자자들의 가장 근본적인 궁금증인 “타인은 어떻게 투자할까?”에 대한 솔루션
- 투자 종목 선정에 어려움을 겪는 소비자에게 실계좌 기반 정보 서비스 제공
- 누구나 본인의 계좌를 등록하고 정산받을 수 있는 리워드 기반 책임형 투자커뮤니티 구축
- 커뮤니티 활성화 후 특허 받은 독자적인 토큰증권(STO) 기술을 통한 사업 확장","✅ 활용 기술 : 블록체인, 탈중앙화신원증명(DID)
✅ 기업 한 줄 소개 : STO 토큰증권 발행 기술을 활용한 실계좌 투자 포트폴리오 구독 서비스를 운영합니다.
✅ 참여 투자 기관 : 소풍벤처스, 더벤처스, 넥스트유니콘개인투자조합","기업 정보
✅ 활용 기술 : 블록체인, 탈중앙화신원증명(DID)
✅ 기업 한 줄 소개 : STO 토큰증권 발행 기술을 활용한 실계좌 투자 포트폴리오 구독 서비스를 운영합니다.
✅ 참여 투자 기관 : 소풍벤처스, 더벤처스, 넥스트유니콘개인투자조합
프랙탈에프엔 소개
- 주식 투자자들의 가장 근본적인 궁금증인 “타인은 어떻게 투자할까?”에 대한 솔루션
- 투자 종목 선정에 어려움을 겪는 소비자에게 실계좌 기반 정보 서비스 제공
- 누구나 본인의 계좌를 등록하고 정산받을 수 있는 리워드 기반 책임형 투자커뮤니티 구축
- 커뮤니티 활성화 후 특허 받은 독자적인 토큰증권(STO) 기술을 통한 사업 확장
Rising Startup 2024 선정
스타트업 현직 VC 및 AC 투자심사역과 스타트업 업계 전문가가 참여하는 심사를 통해 우수한 평가를 받아 선정된 유망 스타트업입니다."
5,https://www.nextunicorn.kr/templates/ir-deck/detail/65110bfc6c53cc18,KNIME,"SaaS, 데이터분석, 애널리틱스",시리즈 B,430억원,2024년,"KNIME(케임)은 데이터 분석 및 데이터 과학 플랫폼을 제공하는 글로벌 기업으로, 오픈소스 기반의 데이터 사이언스 플랫폼 ""KNIME Analytics Platform""을 통해 데이터를 이해하고 분석할 수 있는 직관적인 워크플로우를 제공합니다. 이 플랫폼은 로우코드 및 노코드 환경을 통해 데이터 전문가와 초보자 모두가 데이터를 다룰 수 있도록 돕습니다. KNIME의 기술은 기업의 데이터 통찰력을 향상시키고, 생산성과 효율성을 증대하며, 엔터프라이즈 환경에서 데이터 활용의 모든 단계를 지원합니다. 본사는 독일에 위치하고 있으며, 미국과 유럽에도 지사를 두고 있습니다.",,"회사 소개
KNIME(케임)은 데이터 분석 및 데이터 과학 플랫폼을 제공하는 글로벌 기업으로, 오픈소스 기반의 데이터 사이언스 플랫폼 ""KNIME Analytics Platform""을 통해 데이터를 이해하고 분석할 수 있는 직관적인 워크플로우를 제공합니다. 이 플랫폼은 로우코드 및 노코드 환경을 통해 데이터 전문가와 초보자 모두가 데이터를 다룰 수 있도록 돕습니다. KNIME의 기술은 기업의 데이터 통찰력을 향상시키고, 생산성과 효율성을 증대하며, 엔터프라이즈 환경에서 데이터 활용의 모든 단계를 지원합니다. 본사는 독일에 위치하고 있으며, 미국과 유럽에도 지사를 두고 있습니다.
주목해야 할 핵심 Point
✅ 로우코드 및 노코드 환경: 초보자와 전문가 모두 활용 가능하며, 진입장벽을 낮춰 데이터 활용 효율성을 높임.
✅ 엔드투엔드 데이터 사이언스 플랫폼: 데이터 생성, 분석, 배포, 모니터링 등 데이터 생애주기의 모든 단계를 지원.
✅ 오픈소스 기반: 빠른 기술 도입 및 LLM(Large Language Model) 실험 가능, 비용 효율성을 극대화.
✅ 생성형 AI와의 통합: 생성형 AI 솔루션 테스트 및 배포를 지원하며, 리스크를 감소시키는 투명한 데이터 및 모델 거버넌스 제공.
✅ 광범위한 산업 적용: 금융, 제조, 소매 등 다양한 산업에서 활용 가능.
✅ 성장 가능성: 2030년까지 연평균 20% 성장 예측과 지속적인 ARR(연간 반복 수익) 증가.
추천 이유
이 IR 자료는 데이터 과학 및 분석 시장에서 KNIME의 차별성과 미래 성장 가능성을 명확히 보여줍니다.
- 로우코드/노코드 환경과 오픈소스 플랫폼으로 인해 진입장벽이 낮아져 더 많은 기업과 개인이 접근 가능.
- 생성형 AI와의 통합을 통해 혁신적인 데이터 분석 솔루션을 제공하며, 리스크 관리에도 강점.
- 엔터프라이즈 규모의 데이터 관리 및 분석 기술을 통해 대규모 고객에게 효율성을 제공.
따라서 데이터 분석 및 AI 관련 투자에 관심 있는 투자자들에게 강력히 추천됩니다.
상세 설명
✅ KNIME Analytics Platform
- 데이터 접근, 변환, 분석, 시각화, 배포를 하나의 플랫폼에서 처리 가능.
- 12,000개 이상의 분석 블루프린트를 보유한 커뮤니티 허브 제공.
✅ 시장의 주요 동향:
- AI, ML, IoT 등 기술 확산으로 데이터 분석 수요 급증.
- 로우코드/노코드 도구의 확산으로 타겟 시장 확대.
✅ KNIME의 주요 경쟁력
- 스프레드시트, Python, R 등 기존 도구와의 차별화된 사용성.
- 통합 플랫폼으로 비용 및 가치 실현 시간 단축.
- 고객사의 데이터 개인정보 보호 및 보안을 위한 중앙 관리 기능.
✅ 사업 성과:
- 50만 명 이상의 활동 유저, 400개 이상의 블루칩 고객사 보유.
- ARR 약 €3천만, 1/3은 미국에서 발생.
목차
1. 회사 개요
2. KNIME 소프트웨어의 주요 기능
3. 로우코드/노코드 데이터 분석
4. 생성형 AI와의 통합
5. 시장 기회
6. 시장 성장 동력
7. 경쟁 환경 분석
8. 사업 성과
9. ARR 성장
10. 주요 고객층 및 산업 적용 사례
11. KNIME의 차별화된 가치
12. 엔드투엔드 데이터 과학 지원
13. 오픈소스 커뮤니티 및 혁신"
6,https://www.nextunicorn.kr/templates/ir-deck/detail/111e595dbb807c03,고미페이먼츠,"핀테크, 결제솔루션, PG서비스",투자 진행중,투자 진행중,2024년,"✅ 활용 기술 : 결제
✅ 기업 한 줄 소개 : 대한민국 결제 시장의 새로운 패러다임, 버티컬 핀테크 기업 고미페이먼츠입니다.
✅ 참여 투자 기관 : 비공개","✅ 활용 기술 : 결제
✅ 기업 한 줄 소개 : 대한민국 결제 시장의 새로운 패러다임, 버티컬 핀테크 기업 고미페이먼츠입니다.
✅ 참여 투자 기관 : 비공개","투자심사역이 말하는 IR자료에서 주목해야 할 핵심 Point
✅ 핵심 투자 포인트를 정리해서 초기에 노출하여 주목도를 높였습니다.
- 자료당 1분 내외를 활용하는 심사역의 특성상 핵심내용을 초기에 노출하여 환심을 사는 것은 매우 좋은 전략
- 이를 6개 수준으로 추린 것 역시 이해에 도움.
✅ 거래액, 가맹점 등의 KPI내용을 초기에 노출하여 지표 기반 내용을 강조했습니다.
- 사업을 가설 뿐이 아닌 실제 실적을 기반으로 입증을 했다는 것을 강력하게 어필할 수 있음.
✅ 기업의 한 줄 소개를 첫 장에 노출하여 진행 사업에 대한 빠른 이해를 돕습니다.
- 첫 장부터 해당 기업이 어떤 사업을 영위하고 어떤 차별점을 갖고 사업을 진행하는 지에 대해 빠르게 이해할 수 있음
기업 정보
✅ 활용 기술 : 결제
✅ 기업 한 줄 소개 : 대한민국 결제 시장의 새로운 패러다임, 버티컬 핀테크 기업 고미페이먼츠입니다.
✅ 참여 투자 기관 : 비공개
고미페이먼츠(주) 소개
고미페이먼츠는 버티컬 핀테크 기업으로 원활한 자금 흐름 구축과 솔루션 최적화를 통해 가맹점에 안정적인 PG서비스를 제공하고, 신용카드/간편결제/ARS결제 등 다양한 형태의 결제 시스템을 구축하고 제공하고 있습니다.
Rising Startup 2024 선정
스타트업 현직 VC 및 AC 투자심사역과 스타트업 업계 전문가가 참여하는 심사를 통해 우수한 평가를 받아 선정된 유망 스타트업입니다."
7,https://www.nextunicorn.kr/templates/ir-deck/detail/13ea9b385c871bf3,Incymo AI,"마케팅, 모바일게임, 수익화AI솔루션",시드투자,12억원,2023년,"Incymo AI는 모바일 게임 시장에 특화된 AI 기반 수익화 솔루션을 제공하는 기업으로, 주로 게임사의 ROAS(Return on Ad Spend) 개선과 LTV(Lifetime Value) 증대를 목표로 합니다. 이 회사는 AI 기술을 활용해 효과적인 광고 크리에이티브를 자동으로 생성하고, 이를 통해 게임사의 광고 효과와 유저 확보 효율성을 극대화합니다. 창업자인 안나 즈도렌코를 포함한 핵심 팀은 게임 및 AI 산업에서 풍부한 경험을 보유하고 있습니다.",,"회사 소개
Incymo AI는 모바일 게임 시장에 특화된 AI 기반 수익화 솔루션을 제공하는 기업으로, 주로 게임사의 ROAS(Return on Ad Spend) 개선과 LTV(Lifetime Value) 증대를 목표로 합니다. 이 회사는 AI 기술을 활용해 효과적인 광고 크리에이티브를 자동으로 생성하고, 이를 통해 게임사의 광고 효과와 유저 확보 효율성을 극대화합니다. 창업자인 안나 즈도렌코를 포함한 핵심 팀은 게임 및 AI 산업에서 풍부한 경험을 보유하고 있습니다.
주목해야 할 핵심 Point
✅ 게임 산업에 특화된 AI 솔루션
- 성공적인 광고 크리에이티브 시나리오를 자동 생성하는 AI 기술.
- 게임사의 ROAS 효과를 개선(기존 고객사 기준)하며, 초기 단계에서 강한 시장 반응(트랙션)을 입증.
✅ 명확한 비즈니스 모델
- 게임당 월 사용료를 기반으로 한 구독형 수익 모델(월 $199~$4,000).
✅ 확장 가능성 높은 시장
- 2023년 약 $2.88억의 초기 시장을 시작으로, 2028년까지 $235억 규모로 성장할 것으로 전망.
✅ 검증된 팀 역량
- 창업자는 100개 이상의 스타트업을 자문했으며, 공동 창업자들은 머신러닝, 빅데이터, 게임 크리에이티브 제작에 대한 전문성을 보유.
✅ 투자 유치 목표 및 성장 계획
- $30만 투자 유치를 통해 팀 확장 및 추가 제품 개발.
- 2023년 시리즈 A 유치를 통해 빠른 시장 확대 계획.
추천 이유
Incymo AI의 IR 자료는 모바일 게임 시장에서 광고 수익화의 주요 과제(효과적인 광고 크리에이티브 생성)를 해결하는 데 중점을 두고 있어, 투자자들에게 다음의 이유로 추천할 만합니다:
✅ 시장 성장 가능성: 모바일 게임 시장은 지속적으로 확장되고 있으며, Incymo AI의 제품은 이 시장의 핵심 요구를 충족합니다.
✅ 구체적인 성과: 초기 고객사에서 ROAS 개선 성과를 보였고, MRR(월 반복 매출) $16만을 달성한 실적이 뒷받침됩니다.
✅ 스케일링 가능성: AI 기반 솔루션을 활용해 시장 진입 장벽을 낮추고, 고객사 수를 빠르게 확장할 잠재력이 있습니다.
상세 설명
✅ 시장 전망
- 2023년 Incymo AI 시장 규모: $2.88억
- 2028년 예상 시장 규모: $235억
- 모바일 게임 시장은 Free-to-Play(F2P) 모델을 중심으로 지속적인 성장세를 보이고 있음.
✅ 비즈니스 성과
- 초기 고객사 확보 및 검증된 제품(ROAS 효과 개선).
- 2022년 12월 기준 MRR $16만 기록.
✅ 로드맵
- 2021~2022년: 초기 시장 진입 및 제품 개발.
- 2023년: 시리즈 A 투자 유치 및 글로벌 시장 확대.
- 2024~2030년: 연 매출 $2.4천만 목표 및 IPO 계획.
목차
1. 회사 개요 및 창업 배경
2. 모바일 게임 시장의 현황과 성장성
3. Incymo AI의 주요 제품 및 비즈니스 모델
4. 고객사 성과 및 ROAS 개선 사례
5. 팀 구성 및 전문성
6. 로드맵 및 성장 계획
7. 투자 유치 목표와 사용 계획"
8,https://www.nextunicorn.kr/templates/ir-deck/detail/4a4afe61ad485be6,에버엑스,"디지털헬스케어, 재활운동치료, 자세추정AI",투자 진행중,투자 진행중,2024년,"✅ 활용 기술 : 머신러닝
✅ 기업 한 줄 소개 : 스마트 무릎 운동 솔루션 KneeEx를 만들고 있는 디지털헬스케어 스타트업입니다.
✅ 참여 투자 기관 : 스프링캠프, 테일벤처스, 아주약품, 마더스제약, 프리미어파트너스, 하나벤처스, 우리벤처파트너스, KB증권, 쿼드자산운용, LG전자, SamsungNEXT, 인사이트에퀴티파트너스, 빅무브벤처스, 스프링캠프","✅ 활용 기술 : 머신러닝
✅ 기업 한 줄 소개 : 스마트 무릎 운동 솔루션 KneeEx를 만들고 있는 디지털헬스케어 스타트업입니다.
✅ 참여 투자 기관 : 스프링캠프, 테일벤처스, 아주약품, 마더스제약, 프리미어파트너스, 하나벤처스, 우리벤처파트너스, KB증권, 쿼드자산운용, LG전자, SamsungNEXT, 인사이트에퀴티파트너스, 빅무브벤처스, 스프링캠프","투자심사역이 말하는 IR자료에서 주목해야 할 핵심 Point
✅ 팀 구성을 상세하게 소개하는 장표로 전문성에 대한 신뢰를 줍니다.
- 메디컬 분야의 특성상 비즈니스 전개를 위해 의료 전문 지식을 지닌 핵심 인력이 필수
- 창업팀이 자체적으로 보유하고 있을 수 있으나, 일반적으로 현직에 있는 외부 고문을 통해 해당 지식을 보완해 나가는 것이 투자자 입장에서 리스크 해소에 도움이 된다고 판단
✅ 실제 효과가 있다는 임상 데이터 확보로 비즈니스의 성공에 대한 확신을 어필합니다.
- 이론적으로만이 아닌 실제로 효과가 있다는 점에서 리스크 일부분 해소했다고 어필 가능
기업 정보
✅ 활용 기술 : 머신러닝
✅ 기업 한 줄 소개 : 스마트 무릎 운동 솔루션 KneeEx를 만들고 있는 디지털헬스케어 스타트업입니다.
✅ 참여 투자 기관 : 스프링캠프, 테일벤처스, 아주약품, 마더스제약, 프리미어파트너스, 하나벤처스, 우리벤처파트너스, KB증권, 쿼드자산운용, LG전자, SamsungNEXT, 인사이트에퀴티파트너스, 빅무브벤처스, 스프링캠프
에버엑스 소개
EverEx는 2020년 8월에 시작한 Digital Healthcare Startup으로 관절 질환에 특화된 디지털 치료 솔루션 ‘MORA’를 개발한 기업입니다. 정형외과 전문의인 윤찬 대표와 분야별 핵심 멤버들이 모여, 근골격계 환자들의 재활운동치료 접근성을 획기적으로 높이는 디지털 치료제(Digital Therapeutics, DTx)를 만들고 있습니다. 에버엑스는 직접 개발한 자세 추정 AI 기술과 전문적인 치료 커리큘럼을 기반으로 일상에서 올바른 재활운동치료를 받을 수 있는 세상을 만들고자 합니다.
Rising Startup 2024 선정
스타트업 현직 VC 및 AC 투자심사역과 스타트업 업계 전문가가 참여하는 심사를 통해 우수한 평가를 받아 선정된 유망 스타트업입니다."
9,https://www.nextunicorn.kr/templates/ir-deck/detail/92ecb14db2356bd3,TensorWave,"반도체, AI컴퓨팅, GPU",시드투자,600억원,2024년,"TensorWave는 차세대 AI 컴퓨팅에 특화된 기술 기업으로, AMD MI300X GPU를 활용한 혁신적인 클라우드 컴퓨팅 솔루션을 제공합니다. NVIDIA의 시장 독점을 탈피하고, GPU 공급 부족으로 인한 AI 산업의 한계를 해결하기 위해 설립되었습니다. 이 회사는 AMD와의 전략적 협력 및 독점 추론 엔진 개발을 통해 뛰어난 추론 성능을 제공하며, 글로벌 AI 시장의 성장과 함께 기술적 우위를 확보하고자 합니다.",,"회사 소개
TensorWave는 차세대 AI 컴퓨팅에 특화된 기술 기업으로, AMD MI300X GPU를 활용한 혁신적인 클라우드 컴퓨팅 솔루션을 제공합니다. NVIDIA의 시장 독점을 탈피하고, GPU 공급 부족으로 인한 AI 산업의 한계를 해결하기 위해 설립되었습니다. 이 회사는 AMD와의 전략적 협력 및 독점 추론 엔진 개발을 통해 뛰어난 추론 성능을 제공하며, 글로벌 AI 시장의 성장과 함께 기술적 우위를 확보하고자 합니다.
주목해야 할 핵심 Point
✅ 시장 상황 및 문제 인식
- 엔디비아(NVIDIA)의 AI 컴퓨팅 인프라 독점 문제와 공급 제약이 AI 산업 성장의 한계로 작용.
- 클라우드 업체 및 하이퍼스케일러의 GPU 컴퓨팅 용량 부족 상황을 강조.
✅ 솔루션의 차별점
- AMD MI300X 기반 클라우드 구축으로 GPU 시장 독점에 도전.
- RoCE v2 클러스터를 활용한 높은 확장성과 추론 성능 제공.
✅ 기술적 강점
- AMD GPU와 PyTorch의 네이티브 호환성, 코드 변경 없이 활용 가능.
- FP16 및 FP32 성능에서 기존 대비 우수한 결과 제공.
- LLM 성능(예: Meta의 LLaMA 2)에서 NVIDIA H100 대비 1.4배 우수한 성능 입증.
✅ 팀의 역량
- 다수의 성공적인 기술 기반 스타트업 창업 경험을 보유한 창업 팀.
- 글로벌 기업 고객 대상 클라우드 및 AI 솔루션 제공 경험.
추천 이유
투자자 입장에서 TensorWave IR 자료는 GPU 공급 문제 해결을 위한 현실적인 대안을 제시하며, AMD와의 전략적 파트너십과 기술적 성과를 통해 독보적인 시장 가치를 보여줍니다. NVIDIA의 독점적 지위를 타파할 가능성과 함께, AI 및 클라우드 시장의 높은 성장률을 고려할 때 투자 잠재력이 매우 큽니다. 이 자료는 기술적 우위, 성장 가능성, 그리고 검증된 팀의 역량을 명확히 보여주므로 투자 결정에 유용합니다.
상세 설명
✅ 시장 배경
- 글로벌 AI 시장이 2028년까지 약 $1조 규모로 성장 예상.
- 엔디비아(NVIDIA)의 독점적 지위와 공급 제한이 문제로 부각.
✅ TensorWave의 접근법
- AMD MI300X 기반 혁신적인 클라우드 솔루션 제공.
- PyTorch 등 오픈소스 AI 프레임워크와의 호환성 강조.
✅ 기술 성과
- AMD GPU에서의 높은 추론 성능과 낮은 지연시간 제공.
- FP16/FP32 성능에서 경쟁 제품 대비 뛰어난 결과 도출.
✅ 팀의 역량
- 포춘 500 기업을 대상으로 한 클라우드 및 AI 솔루션 경험.
- 3회의 성공적인 스타트업 엑싯 경험.
목차
1. 회사 소개 및 설립 배경
2. 시장 문제 및 AI 컴퓨팅 위기
3. TensorWave의 기술 및 솔루션
4. 전략적 파트너 및 기술적 차별화
5. 팀 구성 및 창업 경험
6. 시장 전망 및 성장 가능성
7. 투자 가치 및 결론"
